Name,ShortName,FullName,CCF_Rank
PPoPP,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,A
FAST,FAST,USENIX Conference on File and Storage Technologies,A
DAC,DAC,Design Automation Conference,A
HPCA,HPCA,IEEE International Symposium on High Performance Computer Architecture,A
MICRO,MICRO,IEEE/ACM International Symposium on Microarchitecture,A
SC,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",A
ASPLOS,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,A
ISCA,ISCA,International Symposium on Computer Architecture,A
ACM SIGOPS ATC,ACM SIGOPS ATC,ACM SIGOPS Annual Technical Conference,A
EuroSys,EuroSys,European Conference on Computer Systems,A
HPDC,HPDC,The International ACM Symposium on High-Performance Parallel and Distributed Computing,A
SoCC,SoCC,ACM Symposium on Cloud Computing,B
SPAA,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,B
PODC,PODC,ACM Symposium on Principles of Distributed Computing,B
FPGA,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,B
CGO,CGO,The International Symposium on Code Generation and Optimization,B
DATE,DATE,"Design, Automation & Test in Europe",B
HOT CHIPS,HOT CHIPS,Hot Chips: A Symposium on High Performance Chips,B
CLUSTER,CLUSTER,IEEE International Conference on Cluster Computing,B
ICCD,ICCD,International Conference on Computer Design,B
ICCAD,ICCAD,International Conference on Computer-Aided Design,B
ICDCS,ICDCS,IEEE International Conference on Distributed Computing Systems,B
CODES+ISSS,CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,B
HiPEAC,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,B
SIGMETRICS,SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,B
PACT,PACT,International Conference on Parallel Architectures and Compilation Techniques,B
ICPP,ICPP,International Conference on Parallel Processing,B
ICS,ICS,International Conference on Supercomputing,B
VEE,VEE,International Conference on Virtual Execution Environments,B
IPDPS,IPDPS,IEEE International Parallel & Distributed Processing Symposium,B
Performance,Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",B
ITC,ITC,International Test Conference,B
LISA,LISA,Large Installation System Administration Conference,B
MSST,MSST,Mass Storage Systems and Technologies,B
RTAS,RTAS,IEEE Real-Time and Embedded Technology and ApplicationsSymposium,B
Euro-Par,Euro-Par,European Conference on Parallel and Distributed Computing,B
ISCAS,ISCAS,IEEE International Symposium on Circuits and Systems,B
CF,CF,ACM International Conference on Computing Frontiers,C
SYSTOR,SYSTOR,ACM International Systems and Storage Conference,C
NOCS,NOCS,ACM/IEEE International Symposium on Networks-on-Chip,C
ASAP,ASAP,"IEEE International Conference on Application-Specific Systems, Architectures, and Processors",C
ASP-DAC,ASP-DAC,Asia and South Pacific Design Automation Conference,C
